ID,FROM_ID,To_ID,DURATION_H,DIST_KM,Municipalicty
2,Helsingborg,14,0.454063889,39.65013,Ã–rkelljunga
2,Helsingborg,59,0.753275,66.28093,Ã–rkelljunga
2,Helsingborg,149,0.885630556,85.9278,Ã–rkelljunga
2,Helsingborg,177,0.774538889,68.32563,Ã–rkelljunga
2,Helsingborg,254,0.740061111,58.09791,Ã–rkelljunga
2,Helsingborg,378,0.659319444,48.00802,Ã–rkelljunga
2,Helsingborg,430,0.789425,59.11954,Ã–rkelljunga
2,Helsingborg,434,0.641411111,45.91473,Ã–rkelljunga
2,Helsingborg,489,0.752138889,65.18662,Ã–rkelljunga
2,Helsingborg,729,0.630880556,46.05829,Ã–rkelljunga
2,Helsingborg,927,0.611163889,44.33473,Ã–rkelljunga
2,Helsingborg,979,0.832075,60.19292,Ã–rkelljunga
2,Helsingborg,1104,0.700525,50.07219,Ã–rkelljunga
2,Helsingborg,1245,0.575902778,48.09984,Ã–rkelljunga
2,Helsingborg,1369,0.761872222,67.2486,Ã–rkelljunga
2,Helsingborg,1430,0.712263889,56.79996,Ã–rkelljunga
2,Helsingborg,1578,0.702805556,50.40921,Ã–rkelljunga
2,Helsingborg,1811,0.815797222,70.1348,Ã–rkelljunga
2,Helsingborg,2021,0.746722222,66.93464,Ã–rkelljunga
2,Helsingborg,2117,0.864763889,72.13527,Ã–rkelljunga
2,Helsingborg,2161,0.646277778,53.24286,Ã–rkelljunga
2,Helsingborg,2171,0.828725,70.95505,Ã–rkelljunga
2,Helsingborg,2260,0.793686111,60.10815,Ã–rkelljunga
2,Helsingborg,2337,0.731675,65.59878,Ã–rkelljunga
2,Helsingborg,2399,0.673394444,55.75868,Ã–rkelljunga
2,Helsingborg,2658,0.916502778,73.35615,Ã–rkelljunga
2,Helsingborg,2690,0.483711111,40.53114,Ã–rkelljunga
2,Helsingborg,2712,0.775144444,67.01577,Ã–rkelljunga
2,Helsingborg,2802,0.569480556,51.58127,Ã–rkelljunga
