ID,FROM_ID,To_ID,DURATION_H,DIST_KM,Municipalicty
1,Halmstad,10200,0.938130556,64.18755,Örkelljunga
1,Halmstad,10223,0.881111111,62.12157,Örkelljunga
1,Halmstad,10262,0.892116667,62.06895,Örkelljunga
1,Halmstad,10279,0.848169444,60.11159,Örkelljunga
1,Halmstad,10292,0.9185,61.64748,Örkelljunga
1,Halmstad,10346,0.974475,79.78874,Örkelljunga
1,Halmstad,10374,1.206822222,76.39423,Örkelljunga
1,Halmstad,10538,1.022305556,70.9185,Örkelljunga
1,Halmstad,10563,0.891927778,62.50925,Örkelljunga
1,Halmstad,10598,1.004902778,71.17207,Örkelljunga
1,Halmstad,10630,0.852388889,60.46475,Örkelljunga
1,Halmstad,10682,0.847994444,53.90229,Örkelljunga
1,Halmstad,10796,0.997766667,68.86868,Örkelljunga
1,Halmstad,10808,1.033411111,77.66589,Örkelljunga
1,Halmstad,10810,1.030411111,65.99091,Örkelljunga
1,Halmstad,10843,0.831327778,59.58686,Örkelljunga
1,Halmstad,10876,0.721936111,53.29164,Örkelljunga
1,Halmstad,10908,0.929097222,69.38635,Örkelljunga
1,Halmstad,11011,0.954480556,67.87033,Örkelljunga
1,Halmstad,11139,0.9567,66.12843,Örkelljunga
1,Halmstad,11208,0.963802778,64.80244,Örkelljunga
1,Halmstad,11441,0.989869444,69.08163,Örkelljunga
1,Halmstad,11459,0.956225,63.88687,Örkelljunga
1,Halmstad,11500,1.015097222,66.78619,Örkelljunga
1,Halmstad,11638,1.078125,73.4737,Örkelljunga
1,Halmstad,11642,1.040475,80.98396,Örkelljunga
1,Halmstad,11645,0.843386111,62.15346,Örkelljunga
1,Halmstad,11719,0.799444444,58.2792,Örkelljunga
1,Halmstad,11723,0.823552778,59.63548,Örkelljunga
1,Halmstad,11750,0.885441667,63.21455,Örkelljunga
1,Halmstad,11810,0.855125,54.78075,Örkelljunga
1,Halmstad,11908,0.786488889,57.78836,Örkelljunga
1,Halmstad,11937,0.874611111,57.2233,Örkelljunga
1,Halmstad,11968,0.975905556,66.97447,Örkelljunga
1,Halmstad,12009,1.031636111,80.72606,Örkelljunga
1,Halmstad,12227,0.9711,65.64489,Örkelljunga
1,Halmstad,12344,0.918472222,64.5195,Örkelljunga
1,Halmstad,12392,0.88015,61.72705,Örkelljunga
1,Halmstad,12408,1.039636111,72.10907,Örkelljunga
1,Halmstad,12485,0.780069444,55.67209,Örkelljunga
1,Halmstad,12501,1.005597222,77.72602,Örkelljunga
1,Halmstad,12505,1.019436111,70.61744,Örkelljunga
1,Halmstad,12743,0.848175,54.15661,Örkelljunga
1,Halmstad,12763,0.847447222,54.75576,Örkelljunga
1,Halmstad,12911,0.907947222,62.31085,Örkelljunga
1,Halmstad,12946,1.062069444,65.81295,Örkelljunga
1,Halmstad,12965,0.990983333,77.14145,Örkelljunga
1,Halmstad,13183,0.854447222,54.34475,Örkelljunga
1,Halmstad,13194,1.157238889,76.74491,Örkelljunga
1,Halmstad,13221,0.939325,59.53171,Örkelljunga
1,Halmstad,13236,0.958030556,69.15904,Örkelljunga
1,Halmstad,13238,0.835605556,54.94819,Örkelljunga
1,Halmstad,13383,0.917130556,63.66329,Örkelljunga
1,Halmstad,13560,1.03015,70.94621,Örkelljunga
1,Halmstad,13702,0.887238889,62.13539,Örkelljunga
1,Halmstad,13750,1.034905556,77.62822,Örkelljunga
1,Halmstad,13776,1.03755,65.30696,Örkelljunga
1,Halmstad,14105,0.740477778,53.50068,Örkelljunga
1,Halmstad,14147,0.894966667,54.67186,Örkelljunga
1,Halmstad,14163,0.999022222,63.44384,Örkelljunga
1,Halmstad,14193,0.846480556,61.63269,Örkelljunga
1,Halmstad,14283,0.766136111,56.7516,Örkelljunga
1,Halmstad,14301,0.823672222,56.3388,Örkelljunga
1,Halmstad,14356,0.898033333,64.45806,Örkelljunga
1,Halmstad,14407,0.935897222,64.4136,Örkelljunga
1,Halmstad,14472,1.212808333,77.94956,Örkelljunga
1,Halmstad,14663,0.753763889,56.69955,Örkelljunga
1,Halmstad,14664,0.921716667,65.9461,Örkelljunga
1,Halmstad,14675,0.733841667,53.67705,Örkelljunga
1,Halmstad,14799,1.118411111,73.74192,Örkelljunga
1,Halmstad,14857,0.905644444,64.22473,Örkelljunga
1,Halmstad,14971,0.821672222,59.07969,Örkelljunga
1,Halmstad,15040,0.884775,65.80175,Örkelljunga
1,Halmstad,15047,1.022058333,70.71295,Örkelljunga
1,Halmstad,15087,0.872130556,63.04299,Örkelljunga
1,Halmstad,15101,0.876186111,62.17399,Örkelljunga
1,Halmstad,15125,0.8724,54.49015,Örkelljunga
1,Halmstad,15132,1.150036111,69.31697,Örkelljunga
1,Halmstad,15283,0.933977778,60.19169,Örkelljunga
1,Halmstad,15344,0.848086111,59.60064,Örkelljunga
1,Halmstad,15488,0.987275,67.21005,Örkelljunga
1,Halmstad,15532,0.884705556,64.47373,Örkelljunga
1,Halmstad,15547,0.800613889,56.28911,Örkelljunga
1,Halmstad,15551,0.883294444,64.34693,Örkelljunga
1,Halmstad,15767,0.941813889,65.56205,Örkelljunga
1,Halmstad,15823,0.864838889,62.18439,Örkelljunga
1,Halmstad,15833,0.79925,55.59888,Örkelljunga
1,Halmstad,15922,0.761636111,55.81189,Örkelljunga
1,Halmstad,15945,1.225688889,78.93039,Örkelljunga
1,Halmstad,15979,1.031833333,70.26866,Örkelljunga
1,Halmstad,16170,0.959052778,68.87959,Örkelljunga
1,Halmstad,16276,0.905608333,65.42194,Örkelljunga
1,Halmstad,16373,1.018683333,68.15229,Örkelljunga
1,Halmstad,16378,1.026386111,69.82307,Örkelljunga
1,Halmstad,16401,0.944911111,66.95026,Örkelljunga
1,Halmstad,16418,0.976416667,65.25355,Örkelljunga
1,Halmstad,16530,1.11855,75.80674,Örkelljunga
1,Halmstad,16624,0.9008,61.11647,Örkelljunga
1,Halmstad,16659,0.945338889,78.29255,Örkelljunga
1,Halmstad,16785,0.984519444,67.6901,Örkelljunga
1,Halmstad,16799,0.840880556,58.99684,Örkelljunga
1,Halmstad,16896,0.862644444,62.45562,Örkelljunga
